provider_id,score_quality,score_facilites,score_attendance
7065485,3,3,4
6880959,1,1,3
5778395,1,2,4
815861,1,2,2
9343172,1,4,1
9556710,1,1,3
7893930,3,4,4
5198054,1,2,5
9892931,1,4,4
109657,1,2,1
3189236,1,1,5
9196978,1,1,4
2274590,1,2,4
3082288,2,2,5
3443965,3,4,5
9031731,1,1,1
7811799,2,2,2
101176,3,3,3
7742908,2,2,2
1066056,1,1,3
130656,2,5,4
9814221,3,4,3
3335593,1,2,5
2846810,2,3,2
2863448,1,1,3
9956468,1,5,1
49271,2,4,3
2299259,2,5,2
823643,3,3,4
7944950,1,1,1
7060335,1,2,4
3528723,1,1,4
7603797,1,1,5
9994610,2,3,5
4024923,1,2,5
6833896,1,4,1
673919,1,1,4
9641319,2,4,3
4040899,1,1,1
2273799,1,1,4
511552,1,3,3
815233,4,5,4
3662322,4,4,4
380822,1,1,5
9292144,2,3,5
9312188,1,2,3
7933983,3,5,4
6638325,1,1,1
9318682,2,5,2
802034,2,2,4
7146116,3,3,4
9832483,2,5,3
2696339,1,2,5
4099648,1,1,4
7586310,3,3,3
3301370,1,3,2
2708361,2,4,3
5472210,2,2,4
7358776,2,2,4
817066,2,2,2
3729435,1,1,2
7206771,1,5,3
459283,3,4,5
752576,4,5,4
9133968,3,4,5
933562,1,1,1
3599388,1,3,1
6601146,2,2,2
9810463,1,4,3
6497853,2,2,2
6113737,1,4,3
3635163,1,4,4
5711940,1,1,1
7211791,1,2,1
3325369,2,3,5
7994230,3,4,3
9454616,3,5,3
9335978,2,2,5
2072394,1,1,5
486485,1,4,1
9951318,2,3,4
5250390,1,3,4
7160984,1,5,1
3897036,1,2,1
3798410,1,1,5
3768902,3,3,3
9288449,1,2,1
6412572,2,2,4
248924,2,2,5
9894128,2,3,5
9251529,2,4,2
7118198,2,3,5
7173946,2,4,3
6960707,2,5,4
6082122,1,1,4
2906139,2,5,2
6946127,4,4,4
5452562,3,3,4
3271722,1,1,4
2085577,1,1,1
3476588,1,1,2
6110312,1,3,1
9703306,2,4,4
6692141,2,5,3
9701923,5,5,5
223972,1,2,2
5598370,2,3,5
2950545,1,5,1
5263867,2,2,4
3345394,3,4,4
5174988,1,4,1
9402497,1,1,3
118621,1,1,3
5720613,1,1,1
38083,2,2,4
6914705,2,3,5
9378332,1,2,1
6526535,1,5,1
874426,1,1,2
9995110,2,3,4
2051915,1,1,5
5208572,1,3,3
851043,2,2,2
815691,1,3,1
3490491,1,3,5
9732012,1,4,1
7729499,1,5,1
9171045,1,1,1
2745372,1,5,3
2746271,1,4,1
9333541,1,2,1
5502667,1,1,1
5741467,1,4,1
6438415,2,3,3
3856771,4,4,4
9273689,1,1,1
658316,1,4,3
5401798,3,3,3
2688212,1,4,1
678589,4,4,4
6549128,1,5,2
3736636,5,5,5
9901116,1,2,1
9734430,2,2,3
3716856,1,1,2
5306035,1,1,2
9053409,2,3,2
72141,1,5,5
6339352,2,3,5
7747411,1,5,3
918164,2,2,4
6903584,2,3,3
3528758,1,1,2
6281184,4,5,5
3360768,1,2,3
5334489,1,4,4
7915705,2,2,5
6599443,2,4,2
6105386,2,2,2
3221822,1,1,5
7566441,3,5,3
9166270,1,1,4
9911316,1,2,4
5274664,2,3,2
6698514,2,2,3
7063067,1,2,3
3619664,1,1,2
7169272,2,5,2
2066505,2,3,3
7085249,2,4,2
408727,2,5,5
6951864,2,4,2
106690,1,5,2
2864746,2,2,4
3574792,1,1,3
5360331,1,5,1
7272642,3,4,3
2056887,1,2,2
9171762,4,5,4
9639381,1,4,4
6390455,2,4,5
7998228,2,2,2
3799816,2,5,3
9798978,1,3,3
816507,1,2,4
9047522,2,2,2
769371,2,3,2
921874,2,3,2
208019,1,4,4
9069305,3,3,4
909130,1,1,5
421677,1,1,2
3716716,2,4,2
7780354,1,1,3
2932520,1,2,4
7090455,1,1,5
9362614,1,5,1
6756255,1,5,4
3233383,1,5,2
9724087,4,5,4
2079542,1,3,1
9592687,1,1,2
988855,1,4,2
5971683,2,5,5
4049799,1,5,1
2790092,2,5,4
3419738,1,1,2
9978380,1,1,2
7431635,1,1,1
5361877,1,3,1
3473945,1,5,1
4139844,1,1,3
9050574,1,3,2
6053289,1,4,5
9731237,1,3,1
7943350,1,4,2
6178731,1,3,1
9236244,1,3,1
3688720,2,2,2
6244203,1,3,5
5399203,2,3,2
7990359,1,3,1
2746719,1,1,3
6164226,1,3,1
6928498,1,2,2
87564,3,4,3
3003280,3,4,4
6311466,1,4,1
9549781,2,4,2
6665632,1,1,3
4111923,4,4,4
6186157,1,1,1
7890516,2,4,3
9496319,5,5,5
7540833,1,3,3
3018369,1,2,3
6552714,1,4,2
7790996,2,2,5
9980229,1,4,1
7107447,3,4,5
7125429,1,5,1
35602,1,2,1
5190304,1,4,1
2696185,5,5,5
2097028,1,3,5
3149277,1,1,5
7560303,1,1,2
3923371,3,3,4
7462166,2,5,2
6433855,2,3,4
3978788,4,5,4
4127676,2,2,2
6053254,2,4,2
9218793,2,3,5
9354891,2,4,2
3587126,1,3,1
938424,2,2,2
9129537,3,3,3
9553266,2,3,2
3902358,2,5,5
9837159,3,3,4
7862180,2,3,2
3585689,2,4,2
5126711,1,1,5
894885,1,1,3
2925494,2,2,4
3794954,3,5,3
2091305,1,1,4
1083449,3,5,5
9809546,1,1,1
4047273,1,2,4
5229618,2,2,2
2865238,4,5,4
9560084,1,1,3
3934381,1,3,3
975478,3,5,5
4048849,1,2,1
981060,1,4,3
3240630,1,3,4
9335021,1,2,5
6222838,1,5,5
5678307,1,1,3
6326137,4,4,5
213411,3,3,5
4115600,3,5,3
5341671,1,1,5
3422542,3,3,3
6107559,4,5,4
849065,1,2,3
6890628,1,2,1
6125840,4,5,4
5253411,2,3,2
6532055,3,5,3
706183,1,2,2
535885,1,1,5
3516954,1,3,1
5274761,3,3,3
3352080,2,2,2
106992,3,3,3
5064716,1,1,1
3647595,1,1,4
7797753,4,5,4
3000907,2,5,3
7948247,1,2,4
2940558,1,2,3
3670686,1,1,2
4039106,1,1,3
9148817,2,3,5
5049709,1,1,1
3073440,1,2,3
5125766,1,1,4
6200559,1,5,5
296481,3,3,5
9735984,1,5,2
3686760,1,4,1
3567354,3,5,4
6657125,1,1,5
3293262,4,4,4
2578670,2,5,2
2870894,1,1,1
9893210,1,3,1
5857031,3,3,5
7882327,1,5,1
5404886,1,2,2
9970762,2,2,2
9127410,1,2,3
9325298,2,4,3
9828982,2,2,5
9985263,1,1,4
2580160,1,5,1
2549808,1,4,2
9289399,1,5,1
28606,1,2,3
9124349,1,4,4
4002601,3,3,3
5567726,1,3,5
7958404,1,1,5
3876187,1,4,1
2584417,1,4,2
7845804,1,5,1
2783975,1,1,5
2742691,2,3,3
7123353,3,5,5
2587246,1,5,2
3016773,4,4,5
3291936,2,2,5
2947927,1,4,2
2861143,1,1,1
7226446,1,5,1
966053,1,5,1
2680823,2,5,2
3001946,1,5,4
455288,1,1,1
4136829,2,4,4
9819630,1,4,1
2729040,1,1,4
5373115,1,5,1
2739429,2,2,2
3752763,3,3,5
2582333,2,4,5
7958447,1,3,4
7323425,2,5,3
9504079,1,4,1
9105042,2,2,4
3315827,2,2,5
6856098,1,3,1
6012469,2,2,5
826146,1,2,1
3538125,1,2,1
7877285,1,1,1
9274359,1,3,3
7588003,1,3,2
3677508,4,4,4
6622089,3,4,3
210439,4,4,5
7236824,2,4,2
9051295,2,3,4
9039309,1,1,5
880167,1,1,3
304514,1,5,2
998842,2,5,2
5852110,1,3,1
6817785,1,4,2
7595131,1,1,1
3628949,3,4,4
2560712,1,4,1
9869158,2,2,5
6817882,3,5,5
2640384,1,4,1
9999728,3,5,4
4151445,1,3,1
3716244,3,3,4
7331649,1,5,1
6622909,1,1,4
7321112,1,3,1
3209830,2,3,3
9102310,1,4,5
7302339,3,5,5
6131573,2,3,3
9513639,1,1,5
4156323,1,5,1
6722075,3,5,4
6466907,3,3,5
673595,1,3,1
633496,2,4,4
38865,2,4,5
7486049,3,5,3
9781889,1,2,1
5988969,1,3,2
9489770,2,2,4
5042380,2,2,5
9462457,1,5,2
2943158,2,3,3
7880073,1,2,1
3664082,1,1,1
755893,3,5,3
9064516,2,5,2
9676848,1,1,4
5793009,1,1,3
4029690,3,5,5
9440941,4,5,4
2596377,1,4,1
6229778,2,2,2
2225913,4,4,5
5685478,2,2,4
3971791,1,1,1
2265427,1,1,5
2950456,1,1,1
7404107,1,1,2
6458939,1,1,3
4094581,1,1,2
3603164,1,1,3
881120,2,2,2
692085,1,4,5
862290,1,1,1
7146973,1,4,4
6696317,1,3,2
4063082,2,2,5
224243,3,4,4
9904654,1,1,2
3015734,1,1,2
6231225,1,1,1
5007518,2,4,5
6924778,2,3,5
7025661,2,4,2
822639,2,3,4
3699617,1,2,4
6521231,1,1,3
6415709,1,1,4
9906096,2,4,5
9440496,2,3,3
513938,2,3,5
9716696,2,4,3
9552472,4,4,4
5436508,2,3,4
414034,1,1,3
9918825,2,2,4
3455572,1,1,4
9573992,1,2,5
2970333,1,1,3
9086714,1,2,5
3765245,1,4,5
2251388,2,3,4
7746881,1,1,2
3754901,1,5,1
4178637,2,2,3
57681,2,2,3
694142,4,4,4
5263468,1,1,2
179388,1,2,1
9392041,2,2,3
2250098,1,1,3
5282373,1,1,3
6443664,1,4,1
6724116,1,1,1
6556620,1,3,5
2700921,1,3,1
678414,1,1,4
7530307,1,1,3
5223520,1,3,1
5164761,1,1,5
2975181,1,5,1
114480,2,5,4
9959424,2,5,4
9361111,1,3,4
2228602,2,2,2
6247776,2,5,2
834505,2,5,2
9868259,2,4,2
2253526,1,5,3
5384508,2,2,3
76821,2,3,2
6483100,1,1,4
7739214,2,5,2
7588240,1,2,1
9714057,2,5,3
6829589,4,5,4
5367476,1,1,2
2959917,3,3,3
6068502,1,1,2
7426747,1,3,1
9802126,1,3,1
3744817,2,3,2
9272429,1,2,1
3794318,2,4,3
965278,2,5,3
7085044,2,4,4
7734352,1,1,2
3933709,2,5,4
260789,4,5,4
261076,3,5,3
9083677,1,3,2
4000986,1,3,5
260649,2,3,5
705594,2,5,2
5701910,3,3,5
2398710,2,4,2
5341329,1,1,5
3054586,1,1,2
450502,3,4,4
2842858,1,2,3
6617182,1,1,1
7855249,1,2,4
9386106,1,1,2
9209166,1,2,2
2495015,2,3,2
863629,1,4,1
9700803,4,4,4
9564438,1,1,2
5689252,2,5,2
3384551,3,3,5
7278284,4,4,4
702811,2,3,5
5990114,3,3,3
786985,2,5,5
7409737,3,5,4
713635,1,1,1
5067111,1,2,1
6022782,1,5,1
6221173,4,5,4
2358719,3,4,5
2768712,3,3,3
9885722,1,4,1
830542,2,2,2
774529,2,2,4
7247214,1,1,3
262935,1,1,2
988510,1,1,4
9644113,1,1,5
6012639,1,4,1
3710645,2,4,2
6316247,1,1,1
4184300,2,4,5
9444440,3,3,5
7198531,1,4,1
7785356,1,2,3
6536387,2,2,5
9874925,1,1,2
6397182,1,5,4
4091582,1,1,5
7890435,1,3,1
9730044,2,3,2
7520522,1,5,1
5224314,1,5,1
922293,3,5,3
9791302,2,4,3
7559194,2,4,5
6579078,3,5,4
901768,1,5,4
7051697,1,1,5
9798161,1,2,3
3373177,1,3,4
223565,1,1,1
9064400,1,2,3
3109941,1,1,1
11495,4,5,5
9942165,1,2,2
7997965,1,3,4
6585760,1,5,5
9880097,2,4,2
943452,3,3,3
828734,1,2,4
805017,4,4,5
9828583,3,3,3
